lat,lon,date,hectares
60.83890667621282,-131.61677251803698,2022-06-28 00:00:00,2048.32247811
48.64992553391782,-55.7767950234783,2022-07-24 00:00:00,14199.6613085
60.97610366029888,-132.40477996886787,2022-07-02 00:00:00,588.229672845
63.585761678427104,-136.7398490490074,2022-06-26 00:00:00,1414.28580792
60.60577896353426,-109.5356613925985,2022-08-13 00:00:00,8725.53717374
52.04527819394481,-88.06188189947542,2022-07-08 00:00:00,453.167791486
59.76941809992849,-108.434169918445,2022-06-21 00:00:00,1552.86924993
61.42036898443933,-105.37592280583002,2022-07-07 00:00:00,627.060895655
64.88970183889298,-140.88691105480845,2022-07-05 00:00:00,923.260674729
56.92695867981171,-108.51710261830657,2022-08-19 00:00:00,4932.99321178
55.844935341865195,-101.22306800404418,2022-07-13 00:00:00,47110.1496727
