fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,ID,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,MIN_TEMPERATURE,TOTAL_SNOW,LOCAL_MONTH,SPEED_MAX_GUST,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS
119033,48.0127,-66.7593,2021-08-26,0.0,CAMPBELLTON POWER ST,NB,48.0,-66.41,25.6,26.00807443713128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119034,46.3585,-73.60599999999998,2021-08-26,0.0,ST ZENON,QC,46.37,-73.52,442.0,6.717522353289308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119035,49.4251,-75.2518,2021-08-19,0.1,POSTE DE CHAPAIS,QC,49.29,-75.18,381.0,15.88702869053843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119036,50.0859,-70.9224,2021-08-26,6.1,BONNARD 1,QC,50.4344,-71.0047,498.0,39.165967396460736,,17.1,,,26.0,2021.0,,QC,,,0.0,7060826.2021.8.26,,,60.0,,,96.0,7060826,4.1,10.7,,8.0,62.0,23.5,M,,,2021-08-26 00:00:00,,,,0.9
119037,47.3972,-72.7367,2021-08-27,0.0,RAPIDE BLANC,QC,47.48,-72.58,277.1,14.945992552584745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119038,46.3256,-78.70399999999998,2021-08-26,0.0,MOOSE BAY KIPAWA,QC,46.47,-78.59,274.3,18.270677850193312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119039,50.299,-66.4422,2021-08-28,0.1,CLARKE CITY S,QC,50.12,-66.38,61.0,20.377322753798104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119040,47.1999,-72.85689999999998,2021-08-13,0.7,BARRAGE CICONCINE,QC,47.23,-73.02,205.7,12.7573682182987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119041,48.5178,-75.2376,2021-08-28,0.0,CLOVA,QC,48.07,-75.22,423.4,49.77883511941484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119042,45.7594,-73.96689999999998,2021-08-28,0.0,ST HIPPOLYTE,QC,45.59,-74.0,365.8,18.99923030976444,,,,,28.0,2021.0,,QC,,,,7037310.2021.8.28,0.0,,,M,,,7037310,,11.9,0.0,8.0,,16.1,,,M,2021-08-28 00:00:00,,,,
119043,49.3493,-72.69339999999998,2021-08-26,0.0,HEMON,QC,49.04,-72.36,182.9,42.0421584260032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119044,49.1012,-68.7144,2021-08-29,0.0,LABRIEVILLE B2,QC,49.1,-69.14,198.1,30.96573955673988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119045,46.8596,-79.0626,2021-08-29,0.0,KIPAWA LANIEL,QC,47.03,-79.16,280.4,20.32640893507916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119046,48.6169,-69.1286,2021-08-30,0.3,FORESTVILLE NORD,QC,48.45,-69.05,68.6,19.427692131239088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119047,47.6992,-69.6957,2021-08-31,0.2,LES PALISSADES,QC,47.54,-69.56,137.2,20.40322102885745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119048,48.2313,-69.7938,2021-08-31,0.0,POINTE CLAVEAU,QC,48.1537,-70.0652,4.0,21.87640521723516,28.0,,,M,31.0,2021.0,M,QC,,,,704607C.2021.8.31,,M,49.0,,M,90.0,704607C,,,,8.0,53.0,,,,,2021-08-31 00:00:00,,M,,
119049,47.3641,-70.0465,2021-09-01,0.0,LA MALBAIE,QC,47.4,-70.09,22.9,5.160270149883089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119050,47.7657,-69.3157,2021-09-01,0.0,ST ARSENE,QC,47.57,-69.23,76.2,22.673127353703585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119051,47.9417,-78.4419,2021-09-01,0.0,ROUYN-NORANDA A,QC,48.1222,-78.5008,301.1,20.530078088969265,32.0,10.0,M,,1.0,2021.0,,QC,,,0.0,7086719.2021.9.1,,,52.0,M,,100.0,7086719,,2.4,,9.0,40.0,17.6,,,M,2021-09-01 00:00:00,,,,8.0
119052,48.3889,-78.34659999999998,2021-09-03,0.0,TASCHEREAU 2,QC,48.4,-78.41,317.0,4.837977746033912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119053,48.1069,-77.77419999999998,2021-08-30,0.0,RIVIERE HEVA,QC,48.12,-78.08,305.0,22.735026319699823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119054,47.5965,-69.1448,2021-09-03,0.1,ST ARSENE,QC,47.57,-69.23,76.2,7.032499126403649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119055,46.7251,-75.0566,2021-09-03,0.0,TAPINI FARM,QC,46.56,-75.08,274.3,18.43340904286106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119056,48.2432,-78.9514,2021-09-02,0.0,NORANDA LAKE DUFAULT,QC,48.17,-79.0,292.9,8.895082108746996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
