fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,PROVINCE_CODE,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DAY,LOCAL_MONTH,ID,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,CLIMATE_IDENTIFIER
7488,56.2867,-121.2052,2006-05-03,25.0,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,17.467680728158943,BC,13.0,,,,,3.0,5.0,11814FR.2006.5.3,,-7.0,0.0,5.0,,2006-05-03 00:00:00,,,,0.0,,,,17.0,,,2006.0,0.0,,,,0.0,0.0,11814FR
7489,57.0662,-121.1472,2006-05-04,72.0,BEATTON RIVER,BC,57.13,-121.28,807.7,10.70165357756143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,56.6803,-121.447,2006-05-05,1.1,WONOWON,BC,56.44,-121.48,914.4,26.779718559421248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7491,56.55,-121.2845,2006-05-05,10.5,PRESPATOU,BC,56.55,-121.02,684.9,16.201453645168137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7492,56.9712,-122.6376,2006-05-07,0.009,PINK MOUNTAIN 2,BC,57.02,-122.31,1144.0,20.55782361401681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7493,56.2093,-121.8012,2006-05-05,3.0,HUDSON HOPE BRENOT CREEK,BC,56.0448,-121.5819,690.0,22.77379917643748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7494,56.9562,-121.461,2006-05-10,9.0,BEATTON RIVER,BC,57.13,-121.28,807.7,22.197729819790613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,56.7273,-120.9703,2006-05-17,0.009,PRESPATOU,BC,56.55,-121.02,684.9,19.93519593886861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,56.3099,-121.8743,2006-05-18,12.7,WONOWON,BC,56.44,-121.48,914.4,28.24428606104846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7497,56.414,-121.7352,2006-06-12,0.08,WONOWON,BC,56.44,-121.48,914.4,15.946487155365013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
