agency,lat,lon,date,hectares,cause,response_type,biome,elevation
BC,54.539,-128.629,1950-07-05,0.2,H, ,Pacific Maritime,103.0
BC,55.213,-127.825,1950-07-01,0.1,L, ,Pacific Maritime,621.0
BC,55.01,-127.678,1950-08-01,0.1,H, ,Pacific Maritime,959.0
BC,54.463,-128.778,1951-04-21,10.1,H, ,Pacific Maritime,54.0
BC,54.539,-128.68,1951-03-01,0.1,H, ,Pacific Maritime,435.0
BC,54.539,-128.68,1951-03-01,0.1,H, ,Pacific Maritime,435.0
BC,55.184,-127.428,1951-05-04,0.1,H, ,Pacific Maritime,654.0
BC,55.213,-127.428,1951-05-04,0.1,H, ,Pacific Maritime,294.0
BC,54.51,-128.579,1951-06-01,0.1,H, ,Pacific Maritime,63.0
BC,55.155,-127.73,1951-03-01,0.1,H, ,Pacific Maritime,390.0
BC,54.51,-128.528,1951-06-25,0.1,H, ,Pacific Maritime,83.0
BC,54.463,-128.629,1951-06-21,0.1,H, ,Pacific Maritime,109.0
BC,54.76,-128.278,1951-06-28,4.4,H, ,Pacific Maritime,290.0
BC,55.26,-127.523,1951-07-01,0.1,H, ,Pacific Maritime,404.0
BC,55.318,-127.773,1951-07-15,0.1,L, ,Pacific Maritime,1175.0
BC,55.26,-128.178,1951-07-25,0.2,L, ,Pacific Maritime,1384.0
BC,54.568,-128.68,1951-07-25,0.1,L, ,Pacific Maritime,188.0
BC,54.539,-128.629,1951-08-03,0.1,H, ,Pacific Maritime,103.0
BC,54.51,-128.629,1951-08-11,0.1,H, ,Pacific Maritime,57.0
BC,55.126,-127.376,1951-04-19,2.0,H, ,Pacific Maritime,406.0
BC,55.068,-127.48,1951-09-01,3.6,H, ,Pacific Maritime,1092.0
BC,54.597,-128.731,1951-03-01,0.1,H, ,Pacific Maritime,338.0
BC,54.597,-128.731,1951-03-01,0.1,H, ,Pacific Maritime,338.0
BC,55.242,-128.075,1951-09-06,0.2,H, ,Pacific Maritime,387.0
BC,55.068,-128.178,1951-09-19,8.0,H, ,Pacific Maritime,346.0
BC,55.242,-127.575,1951-09-20,0.1,H, ,Pacific Maritime,351.0
BC,54.51,-128.629,1951-09-20,0.1,H, ,Pacific Maritime,57.0
BC,55.184,-128.023,1952-06-07,0.8,H, ,Pacific Maritime,397.0
BC,54.539,-128.481,1952-07-10,0.6,H, ,Pacific Maritime,120.0
BC,55.213,-127.678,1952-07-16,0.1,H, ,Pacific Maritime,325.0
BC,54.51,-128.629,1952-07-22,0.1,H, ,Pacific Maritime,57.0
BC,54.51,-128.731,1952-07-22,0.1,L, ,Pacific Maritime,66.0
BC,54.51,-128.579,1952-07-28,0.1,H, ,Pacific Maritime,63.0
BC,55.097,-127.73,1952-07-28,0.1,H, ,Pacific Maritime,520.0
BC,55.097,-127.325,1952-08-07,0.1,H, ,Pacific Maritime,352.0
BC,55.068,-128.23,1952-08-16,0.2,H, ,Pacific Maritime,165.0
BC,55.039,-128.273,1952-07-29,0.1,H, ,Pacific Maritime,304.0
BC,55.26,-127.678,1952-09-09,0.1,H, ,Pacific Maritime,226.0
BC,54.76,-128.231,1952-05-09,2.4,H, ,Pacific Maritime,614.0
BC,54.51,-128.731,1952-05-14,0.8,H, ,Pacific Maritime,66.0
BC,54.463,-128.481,1952-05-17,0.1,H, ,Pacific Maritime,108.0
BC,55.213,-127.626,1953-05-23,0.1,L, ,Pacific Maritime,389.0
BC,55.068,-127.825,1953-05-26,0.1,H, ,Pacific Maritime,552.0
BC,55.184,-127.48,1953-05-23,0.1,L, ,Pacific Maritime,1260.0
BC,54.597,-128.731,1953-05-30,20.2,H, ,Pacific Maritime,338.0
BC,54.51,-128.68,1953-07-09,0.1,H, ,Pacific Maritime,49.0
BC,55.184,-127.73,1953-07-26,0.1,L, ,Pacific Maritime,292.0
BC,55.097,-127.73,1953-07-25,0.2,H, ,Pacific Maritime,520.0
BC,54.51,-128.629,1953-08-13,0.1,H, ,Pacific Maritime,57.0
BC,54.51,-128.629,1953-08-13,0.1,H, ,Pacific Maritime,57.0
BC,55.242,-128.023,1953-08-29,0.1,H, ,Pacific Maritime,477.0
BC,54.126,-122.379,1950-07-07,0.1,H, ,Montane Cordillera,692.0
BC,54.934,-122.731,1950-07-06,0.8,L, ,Montane Cordillera,860.0
BC,53.992,-121.682,1950-09-08,0.1,H, ,Montane Cordillera,619.0
BC,54.039,-122.379,1951-06-09,12.1,H, ,Montane Cordillera,607.0
BC,53.905,-122.182,1951-07-02,0.1,L, ,Montane Cordillera,736.0
BC,53.992,-122.481,1951-06-28,0.1,H, ,Montane Cordillera,767.0
BC,53.905,-122.132,1951-07-02,0.1,L, ,Montane Cordillera,738.0
BC,54.01,-121.629,1951-07-12,0.1,L, ,Montane Cordillera,733.0
BC,54.184,-122.231,1951-07-13,0.1,L, ,Montane Cordillera,693.0
BC,54.126,-122.18,1951-07-29,0.1,H, ,Montane Cordillera,661.0
BC,54.126,-122.028,1951-08-15,0.1,L, ,Montane Cordillera,603.0
BC,55.126,-122.928,1951-08-24,0.1,H, ,Montane Cordillera,750.0
BC,53.992,-122.481,1951-09-05,1.0,H, ,Montane Cordillera,767.0
BC,54.242,-122.231,1951-09-06,16.1,L, ,Montane Cordillera,769.0
BC,54.126,-121.93,1952-05-28,0.1,L, ,Montane Cordillera,606.0
BC,54.742,-122.778,1952-06-27,0.1,L, ,Montane Cordillera,706.0
BC,54.597,-122.629,1952-07-26,0.1,L, ,Montane Cordillera,819.0
BC,54.568,-122.579,1952-07-26,0.1,L, ,Montane Cordillera,879.0
BC,54.289,-122.231,1952-08-01,2.0,L, ,Montane Cordillera,793.0
BC,54.097,-121.68,1952-08-17,0.1,H, ,Montane Cordillera,875.0
BC,53.963,-121.981,1952-08-02,0.1,L, ,Montane Cordillera,745.0
BC,53.992,-121.731,1952-09-26,0.1,L, ,Montane Cordillera,633.0
BC,54.126,-122.379,1953-05-12,1.2,H, ,Montane Cordillera,692.0
BC,54.01,-121.68,1953-07-09,0.1,L, ,Montane Cordillera,612.0
BC,54.068,-122.981,1950-06-20,0.1,H, ,Montane Cordillera,759.0
BC,54.289,-122.68,1950-06-25,0.1,H, ,Montane Cordillera,754.0
BC,53.184,-122.382,1950-06-28,1.0,H, ,Montane Cordillera,772.0
BC,53.876,-122.783,1950-06-28,0.1,H, ,Montane Cordillera,652.0
BC,53.626,-122.533,1950-06-28,1.8,L, ,Montane Cordillera,861.0
BC,54.213,-123.481,1950-06-27,3.5,L, ,Montane Cordillera,819.0
BC,54.405,-122.629,1950-07-04,16.1,H, ,Montane Cordillera,753.0
BC,53.26,-122.481,1950-06-26,0.1,H, ,Montane Cordillera,797.0
BC,53.434,-122.583,1950-06-01,0.8,H, ,Montane Cordillera,596.0
BC,53.405,-122.583,1950-07-01,0.8,H, ,Montane Cordillera,689.0
BC,53.26,-122.481,1950-07-02,0.1,H, ,Montane Cordillera,797.0
BC,53.434,-122.583,1950-07-04,0.1,H, ,Montane Cordillera,596.0
BC,54.068,-122.68,1950-07-07,0.1,H, ,Montane Cordillera,646.0
BC,53.405,-122.583,1950-07-05,0.1,H, ,Montane Cordillera,689.0
BC,53.434,-122.583,1950-07-05,0.1,H, ,Montane Cordillera,596.0
BC,53.905,-123.583,1950-07-24,0.1,H, ,Montane Cordillera,766.0
BC,53.318,-122.533,1950-07-01,1.6,H, ,Montane Cordillera,652.0
BC,54.01,-123.028,1950-06-26,0.1,H, ,Montane Cordillera,755.0
BC,54.289,-122.731,1950-07-02,0.1,H, ,Montane Cordillera,708.0
BC,53.597,-122.682,1950-07-22,2.0,H, ,Montane Cordillera,557.0
BC,54.039,-122.778,1950-08-01,0.1,H, ,Montane Cordillera,718.0
BC,53.51,-122.682,1950-08-04,0.1,H, ,Montane Cordillera,536.0
BC,53.242,-122.432,1950-08-04,0.1,H, ,Montane Cordillera,708.0
